sku,name,barcode,category,subcategory,brand,tags,variant,unit,warehouse,qtyOnHand,qtyReserved,reorderPoint,reorderQty,binLocation,unitCost,listPrice,salePrice,priceTier,supplierId,supplierName,supplierSku,leadTimeDays,minOrderQty
SKU-OK-101,Industrial Sensor X1,100000000001,Electronics,Sensors,ApexGear,"electronics,warehouse",Standard,pcs,WH-NORTH-01,150,10,50,200,A-12-04,15.5,32.0,32.0,Standard,SUP-901,Apex Supplies,SUP-SKU-901,7,10
SKU-OK-102,Safety Goggles Pro,100000000002,Safety Equipment,PPE,SafeGuard,"safety,warehouse",Standard,pcs,WH-SOUTH-02,300,15,100,500,B-04-12,5.2,12.5,12.5,Standard,SUP-902,SafeCorp,SUP-SKU-902,5,20
SKU-OK-103,Industrial Sensor A103,100000000003,Electronics,Sensors,ApexGear,"electronics,sensors",Standard,pcs,WH-NORTH-01,161,21,53,229,A-10-02,7.69,17.3,17.3,Standard,SUP-910,Apex Supplies,SUP-SKU-910-003,9,14
SKU-OK-104,Safety Gloves B104,100000000004,Electronics,Cables,VoltEdge,"electronics,cables",Small,box,WH-SOUTH-02,198,28,64,272,B-13-09,9.42,22.61,20.8,Wholesale,SUP-911,SafeCorp,SUP-SKU-911-004,11,17
SKU-OK-105,USB Cable C105,100000000005,Safety Equipment,PPE,SafeGuard,"safety-equipment,ppe",Medium,pack,WH-EAST-03,235,5,75,315,C-16-16,11.15,20.07,20.07,Premium,SUP-912,Global Industrial,SUP-SKU-912-005,13,20
SKU-OK-106,Steel Bearing D106,100000000006,Tools,Hand Tools,ProCraft,"tools,hand-tools",Large,set,WH-WEST-04,272,12,86,358,D-19-03,12.88,25.12,25.12,Standard,SUP-913,Prime Distribution,SUP-SKU-913-006,15,23
SKU-OK-107,Packing Box E107,100000000007,Tools,Power Tools,ProCraft,"tools,power-tools",Premium,pcs,WH-NORTH-01,309,19,97,401,E-02-10,14.61,30.68,30.68,Wholesale,SUP-914,Metro Supply,SUP-SKU-914-007,17,26
SKU-OK-108,Barcode Labels F108,100000000008,Industrial,Bearings,MotionMax,"industrial,bearings",Standard,box,WH-SOUTH-02,346,26,108,444,F-05-17,16.34,36.77,33.83,Premium,SUP-915,Apex Supplies,SUP-SKU-915-008,4,29
SKU-OK-109,Adjustable Wrench G109,100000000009,Industrial,Fasteners,FixPro,"industrial,fasteners",Small,pack,WH-EAST-03,383,3,119,487,G-08-04,18.07,43.37,43.37,Standard,SUP-916,SafeCorp,SUP-SKU-916-009,6,32
SKU-OK-110,Power Drill H110,100000000010,Packaging,Boxes,PackRight,"packaging,boxes",Medium,set,WH-WEST-04,420,10,29,530,H-11-11,19.8,35.64,35.64,Wholesale,SUP-917,Global Industrial,SUP-SKU-917-010,8,35
